회사ID,15_매출액,16_매출액,17_매출액,18_매출액,19_매출액,15_총급여,16_총급여,17_총급여,18_총급여,19_총급여,최대_직원수
122008,,,,200174.0,,,,,72100000.0,,3
122102,,,,1674000.0,,,,,48600000.0,,3
122592,,,,429627.0,,,,,112001333.33333333,,4
122842,,,,309633.0,,,,,130600000.0,,4
122968,37415377.0,26858719.0,32997924.0,31514468.0,,820040000.0,4381544000.0,4230121777.777777,3767622666.666667,,88
122975,,,,15242885.0,,,,,3624505333.333334,,57
122983,24179108.0,20292461.0,9470987.0,,,560876444.4444444,3250590666.6666665,2165933333.3333335,,,64
123082,,6765218.0,6638972.0,6001508.0,,,1137492000.0,1077188000.0,963469777.777778,,30
123219,,3754186.0,3934187.0,3699796.0,,,718883111.111111,837254222.2222221,728828000.0,,20
123235,15902604.0,15846473.0,16259438.0,15608604.0,,217240888.8888889,1344789333.333333,1327606222.2222223,1366932000.0,,21
123264,,8062640.0,,,,,1389434222.2222223,,,,18
123380,,,,4216827.0,,,,,537532888.888889,,14
123447,8656867.0,7459939.0,,6317703.0,,48942222.222222224,389842666.6666666,,391963111.11111116,,13
123464,,1853170.0,1647383.0,1760695.0,,,490761777.77777785,373455555.55555564,317496888.88888896,,12
123518,,7202135.0,,,,,765885333.3333335,,,,13
123544,,,,9063293.0,,,,,421861333.3333334,,11
123548,,1373237.0,1975096.0,,,,668928000.0,716237777.7777777,,,12
123649,,1969696.0,2505730.0,1996437.0,,,363736888.8888889,344735555.55555564,368294666.6666667,,11
123667,435009.0,583872.0,,,,21944000.0,201308444.44444448,,,,8
123823,,,,1607996.0,,,,,276632444.4444445,,9
123882,,289034.0,1044575.0,5293947.0,,,276313777.77777785,357768888.8888889,433185777.7777778,,9
123997,,,,3263376.0,,,,,316711111.1111111,,10
124037,,296230.0,,,,,130800000.0,,,,7
124181,,2388433.0,1903108.0,1884775.0,,,249733333.3333334,348658666.6666667,327132000.0,,8
124223,2400795.0,3381835.0,3473757.0,,,79795555.55555555,351010666.66666675,330125333.3333333,,,7
124281,269644.0,171768.0,132900.0,169819.0,,14594666.666666668,93728000.0,80456888.88888888,86936444.44444443,,7
124327,4536170.0,,,,,88307555.55555555,,,,,7
124364,,,,376961.0,,,,,146446666.66666666,,7
124386,,621771.0,1295805.0,1010237.0,,,158637333.33333334,199564000.0,302120000.00000006,,8
124388,172257.0,262604.0,351745.0,60187.0,,22727555.555555556,110992000.0,149760888.8888889,188689777.77777776,,7
124450,448891.0,249092.0,,,,7877333.333333334,39208888.888888896,,,,5
124461,,,,1953696.0,,,,,370989333.33333343,,8
124463,314769.0,522098.0,713189.0,613629.0,,39727555.55555555,250010666.6666667,218906666.6666667,215490666.6666667,,7
124535,,240989.0,185485.0,341241.0,,,93600000.0,108174222.22222222,160578666.6666667,,7
124581,201205.0,391037.0,,,,8100000.0,155140000.0,,,,6
124595,,161530.0,,,,,82744888.88888888,,,,6
124690,,,,7518719.0,,,,,102895555.55555558,,6
124777,,,,498981.0,,,,,246714666.66666666,,6
124906,4773145.0,2788271.0,,,,69187555.55555555,393036444.4444445,,,,5
124913,,474740.0,,484432.0,,,111594666.66666666,,120368000.0,,5
124918,981961.0,918896.0,893949.0,784679.0,,31466666.666666668,193637333.3333333,221296000.00000003,233360000.0000001,,5
124927,,,,350800.0,,,,,159468888.8888889,,5
125065,457536.0,432517.0,,470243.0,,21135111.111111112,135646666.66666666,,140573333.3333333,,5
125082,,,,3436197.0,,,,,343152000.00000006,,5
125197,,792737.0,769415.0,524258.0,,,146053333.3333333,96653333.33333334,123372444.44444443,,5
125250,,1552882.0,,1522578.0,,,182229333.33333337,,222797333.33333334,,4
125274,359200.0,120405.0,,,,21287111.111111112,141894666.66666666,,,,6
125312,204425.0,294163.0,,476800.0,,41433777.777777776,234284888.8888889,,95402666.66666666,,8
125394,186222.0,,,,,11560000.0,,,,,4
125397,,,,2874434.0,,,,,217696000.0000001,,4
125415,,,,1916795.0,,,,,82437333.33333333,,3
125457,,,,359171.0,,,,,215658666.66666666,,4
125706,,,,1187021.0,,,,,52973333.33333333,,3
125779,,290409.0,,193808.0,,,92098666.66666666,,92167999.99999999,,3
125816,,,,448578.0,,,,,52116444.44444445,,4
125835,23977029.0,20990931.0,18538221.0,,,436253777.7777778,4717832000.0,5343933333.333333,,,98
125878,,23932243.0,28276034.0,19199069.0,,,1810850222.2222226,2043393333.3333337,2185536888.888889,,30
125958,12821376.0,14633931.0,12534166.0,13967286.0,,176762222.22222224,1072320000.0000002,1132012444.4444447,1244744888.888889,,18
125980,,,,538384.0,,,,,117823555.55555558,,9
125984,3233119.0,4378421.0,,8019667.0,,127806222.22222222,910692888.888889,,1227015111.1111114,,18
125987,3674647.0,4333122.0,3159310.0,2487905.0,,200300444.44444445,1006970222.222222,984031999.9999999,835099111.1111113,,16
126196,,3944136.0,,3091250.0,,,328760000.00000006,,203552000.00000003,,7
126282,915504.0,1381558.0,1478243.0,1728913.0,,18371555.555555556,140957333.33333334,213477333.3333334,206466666.66666675,,5
126365,1899957.0,3873742.0,3091991.0,1248009.0,,11435555.555555556,92626666.66666666,141192000.0,76787555.55555555,,4
126374,,,,200409.0,,,,,56155555.55555555,,3
126413,,,,779650.0,,,,,17880000.0,,4
126516,1061715908.0,468913812.0,402601664.0,,,26188617333.333336,156646584000.00003,137774067555.55557,,,1674
126521,567910907.0,560278128.0,554767229.0,567246558.0,,22873277333.333336,142279653777.77777,141056997777.77777,143086894666.6667,,1622
126538,605381377.0,671580655.0,716851120.0,721901349.0,,15386826666.666668,97422337777.77779,110138867555.55556,112183924888.88889,,1363
126606,937184426.0,980566803.0,1031422825.0,1035707054.0,,14818697777.777779,88441805777.77779,91312341333.33333,94790368444.44444,,1007
126641,,,,296190099.0,,,,,37430219111.11111,,495
126664,256505233.0,304408150.0,323278620.0,353839107.0,,10009705777.777779,63358577333.33332,68818147111.11111,73920544000.00002,,876
126674,474963360.0,480114248.0,531267060.0,524068949.0,,11783887111.11111,70357279111.11111,71121568888.88889,71627045333.33333,,832
126772,283323214.0,288733460.0,303437262.0,260037522.0,,4957930666.666667,41793184888.88889,50812193777.77778,58982315111.111115,,684
